deck,front,back,tags,note_type,media
AgilePG::Roles & Team,"In practice, the most effective agile teams tend to range in size from {{c1::three to nine members}}.",,Agile::Role::Team,Cloze,
AgilePG::Roles & Team,"Ideally, agile teams are {{c1::colocated}} in a team space.",,Agile::Role::Team,Cloze,
AgilePG::Roles & Team,"Agile encourages {{c1::self-managing teams}}, where team members decide who will perform the work within the next period's defined scope.",,Agile::Role::Team,Cloze,
AgilePG::Roles & Team,"In agile teams, team members are {{c1::100% dedicated}} to the teams.",,Agile::Role::Team,Cloze,
AgilePG::Roles & Team,Cross-functional agile teams produce {{c1::functional product}} increments frequently.,,Agile::Role::Team,Cloze,
AgilePG::Roles & Team,"Regardless of the overall agile approach, the more a team {{c1::limits its work in progress}}, the more likely its members can collaborate to expedite work across the board.",,Agile::Role::Team,Cloze,
AgilePG::Roles & Team,"Mini-waterfalls occur when the team addresses {{c1::all}} of the requirements in a given period, then attempts to do {{c1::all}} of the design, then moves on to do {{c1::all}} of the building.",,Agile::Role::Team,Cloze,
AgilePG::Roles & Team,What are the three common roles in Agile teams?,"Cross-functional team members, Product owner, and Team facilitator",Agile::Role::Team,Basic,
AgilePG::Roles & Team,{{c1::Cross-functional}} teams consist of team members with all the skills necessary to produce a working product.,,Agile::Role::Team,Cloze,
AgilePG::Roles & Team,The {{c1::product owner}} is responsible for guiding the direction of the product.,,Agile::Role::ProductOwner,Cloze,
AgilePG::Roles & Team,"The third role typically seen on agile teams is of a {{c1::team facilitator}}, a servant leader.",,Agile::Role::ScrumMaster,Cloze,
AgilePG::Roles & Team,"However, many successful agile teams are made up of {{c1::generalizing specialists}}, or 'T-shaped' people.",,Agile::Role::Team,Cloze,
AgilePG::Roles & Team,"A {{c1::T-shaped person}} has a defined, recognized specialization and primary role, but has the skills, versatility, and aptitude for collaboration to help other people when and where necessary.",,Agile::Role::Team,Cloze,
AgilePG::Roles & Team,"The team's objective is {{c1::flow efficiency}}, optimizing the throughput of the entire team.",,Agile::Role::Team,Cloze,
AgilePG::Roles & Team,The product owner's job is to make sure the team works on the {{c1::highest-value work}}.,,Agile::Role::ProductOwner,Cloze,
AgilePG::Roles & Team,{{c1::Multitasking}} reduces the throughput of the team's work and impacts the team's ability to predict delivery consistently.,,Agile::Role::Team,Cloze,
AgilePG::Roles & Team,People experience productivity losses somewhere between {{c1::20% and 40%}} when task switching.,,Agile::Role::Team,Cloze,
AgilePG::Roles & Team,"A team is cross-functional, self-organizing, and empowered to assign tasks internally. What type of team structure does this reflect?",Self-managing agile team,Agile::Role::Team,Basic,
AgilePG::Roles & Team,What remote management technique does this describe: 'Setting up long-lived video conferencing links between the various locations in which the team is dispersed.',Fishbowl Windows,Agile::Role::Team,Basic,
AgilePG::Roles & Team,"What remote management technique does this describe: 'Use virtual conferencing tools to share screens, including voice and video links between two individuals.'",Remote Pairing,Agile::Role::Team,Basic,
AgilePG::Roles & Team,The goal of the {{c1::team charter}} is to create an agile environment in which team members can work to the best of their ability as a team.,,Agile::Role::Team,Cloze,
AgilePG::Roles & Team,What document formally authorizes the project and provides the project manager with authority?,Project Charter,Agile::Role::Team,Basic,
AgilePG::Roles & Team,"Chartering in Agile involves {{c1::team collaboration}} to define working agreements, values, and expectations.",,Agile::Role::Team,Cloze,
